ID: 1, First Name: Aarae, Last Name: Alexander, Nick Name: , Team: 
ID: 2, First Name: Aaron, Last Name: Johnson, Nick Name: , Team: Team Lloyd Irvin
ID: 3, First Name: Abdurakhman, Last Name: Bilarov, Nick Name: Tex, Team: Unity JJ
ID: 4, First Name: Abmar, Last Name: Barbosa, Nick Name: , Team: Team Nogueira
ID: 5, First Name: Abraham, Last Name: Marte Messina, Nick Name: , Team: 
ID: 6, First Name: Adam, Last Name: Benayoun, Nick Name: , Team: Yamasaki / Basico
ID: 7, First Name: Adam, Last Name: Ferrara, Nick Name: , Team: Fifty/50 Martial Arts Academy
ID: 8, First Name: Adam, Last Name: Kayoom, Nick Name: , Team: GF Team
ID: 9, First Name: Adam, Last Name: Wardzinski, Nick Name: , Team: BKK BJJ
ID: 10, First Name: Ademir, Last Name: Barreto, Nick Name: Megatron, Team: Checkmat
ID: 11, First Name: Admilson, Last Name: Brites, Nick Name: , Team: GF Team
ID: 12, First Name: Admilson, Last Name: Gobi Junior, Nick Name: Juquinha, Team: Gracie Humaita
ID: 13, First Name: Aniel, Last Name: Bonifacio, Nick Name: , Team: 
ID: 14, First Name: Adele, Last Name: Fornarino, Nick Name: , Team: Rodrigo Carvalho JJ
ID: 15, First Name: Adriana, Last Name: Martins, Nick Name: , Team: Team Dominance
ID: 16, First Name: Adriano, Last Name: Martins, Nick Name: , Team: Akxe
ID: 17, First Name: Adriano, Last Name: Silva, Nick Name: , Team: 
ID: 18, First Name: AJ, Last Name: Agazarm, Nick Name: , Team: Barbosa JJ
ID: 19, First Name: Alan, Last Name: Belcher, Nick Name: , Team: Gracie Barra
ID: 20, First Name: Alan, Last Name: do Nascimento, Nick Name: , Team: 
ID: 21, First Name: Alan, Last Name: Moraes, Nick Name: Finfou, Team: Checkmat
ID: 22, First Name: Alan, Last Name: Sanchez, Nick Name: , Team: Carlson Gracie
ID: 23, First Name: Alberto, Last Name: Carmona, Nick Name: , Team: 10th Planet
ID: 24, First Name: Alberto, Last Name: Crane, Nick Name: Beto, Team: Akxe
ID: 25, First Name: Alef, Last Name: Brito, Nick Name: , Team: Gracie Barra
ID: 26, First Name: Alex, Last Name: Martins, Nick Name: , Team: Ares JJ
ID: 27, First Name: Alex, Last Name: Munis, Nick Name: , Team: AMBJJ
ID: 28, First Name: Alex, Last Name: Nguyen, Nick Name: , Team: Dream Art Project
ID: 29, First Name: Alessandra, Last Name: Vieira, Nick Name: , Team: Standard JJ
ID: 30, First Name: Alexander, Last Name: Trans, Nick Name: Leka, Team: 
ID: 31, First Name: Alessandro, Last Name: Capodeferro, Nick Name: , Team: Checkmat
ID: 32, First Name: Alexandre, Last Name: Barauna, Nick Name: , Team: Barbosa JJ
ID: 33, First Name: Alexandre, Last Name: Cavaliere, Nick Name: , Team: GF Team
ID: 34, First Name: Alexandre, Last Name: de Souza, Nick Name: , Team: Alliance
ID: 35, First Name: Alexandre, Last Name: Ceconi, Nick Name: Pop, Team: Gracie Floripa
